freq_hz,h1_db,h2_target_db,h2_float_db,h2_fixed_db,h2_float_phase_rad,h2_fixed_phase_rad,htotal_float_db,htotal_fixed_db
3500000000.000000,-0.164100602,0.164100602,0.164657544,0.168314841,-1.178097245096,-1.178097245096,0.000556942,0.004214239
3501000000.000000,-0.175570512,0.175570512,0.164884944,0.168557037,-1.194590606528,-1.194590606528,-0.010685568,-0.007013475
3502000000.000000,-0.154273784,0.154273784,0.165114883,0.168801056,-1.211083967959,-1.211083967959,0.010841099,0.014527272
3503000000.000000,-0.165442206,0.165442206,0.165347333,0.169046869,-1.227577329390,-1.227577329390,-0.000094873,0.003604663
3504000000.000000,-0.158579868,0.158579868,0.165582274,0.169294454,-1.244070690822,-1.244070690822,0.007002406,0.010714586
3505000000.000000,-0.154807545,0.154807545,0.165819694,0.169543797,-1.260564052253,-1.260564052253,0.011012149,0.014736252
3506000000.000000,-0.169569100,0.169569100,0.166059587,0.169794893,-1.277057413684,-1.277057413684,-0.003509513,0.000225793
3507000000.000000,-0.166967694,0.166967694,0.166301957,0.170047745,-1.293550775116,-1.293550775116,-0.000665737,0.003080051
3508000000.000000,-0.156279824,0.156279824,0.166546815,0.170302362,-1.310044136547,-1.310044136547,0.010266991,0.014022538
3509000000.000000,-0.165279751,0.165279751,0.166794178,0.170558762,-1.326537497978,-1.326537497978,0.001514427,0.005279011
3510000000.000000,-0.150140734,0.150140734,0.167044072,0.170816969,-1.343030859410,-1.343030859410,0.016903338,0.020676235
3511000000.000000,-0.179439056,0.179439056,0.167296527,0.171077014,-1.359524220841,-1.359524220841,-0.012142529,-0.008362042
3512000000.000000,-0.184513000,0.184513000,0.167551582,0.171338935,-1.376017582272,-1.376017582272,-0.016961418,-0.013174065
3513000000.000000,-0.173532709,0.173532709,0.167809280,0.171602775,-1.392510943704,-1.392510943704,-0.005723429,-0.001929934
3514000000.000000,-0.175354634,0.175354634,0.168069672,0.171868585,-1.409004305135,-1.409004305135,-0.007284962,-0.003486049
3515000000.000000,-0.166006177,0.166006177,0.168332812,0.172136420,-1.425497666566,-1.425497666566,0.002326635,0.006130243
3516000000.000000,-0.167506758,0.167506758,0.168598763,0.172406343,-1.441991027998,-1.441991027998,0.001092005,0.004899585
