subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,1.766868750846e+02,-1.060121250507e+02,1.713580529474e+02,-1.051578294270e+02,1.769160714753e+02,-1.084735332290e+02,1.767690767882e+02,-1.083759265910e+02
1,19389,3550231933.593750,3.533737501691e+01,1.060121250507e+02,3.550495369986e+01,1.030917553689e+02,3.660319167237e+01,1.064155707449e+02,3.656881982977e+01,1.063262722591e+02
2,19390,3550415039.062500,2.473616251184e+02,3.533737501691e+01,2.416839496748e+02,3.209725916393e+01,2.494090701944e+02,3.322234789711e+01,2.491961213052e+02,3.320178098616e+01
3,19391,3550598144.531250,-3.533737501691e+01,1.766868750846e+02,-3.278829969013e+01,1.727246856331e+02,-3.390491566259e+01,1.782269185384e+02,-3.388158166865e+01,1.780744331514e+02
4,19392,3550781250.000000,-1.060121250507e+02,1.060121250507e+02,-1.024244486879e+02,1.044378513860e+02,-1.057284282386e+02,1.077225793125e+02,-1.056418977904e+02,1.076277963346e+02
5,19393,3550964355.468750,1.060121250507e+02,-2.473616251184e+02,1.010969414964e+02,-2.423370382624e+02,1.044055936417e+02,-2.499932849040e+02,1.043245584112e+02,-2.497776517115e+02
6,19394,3551147460.937500,-1.766868750846e+02,3.533737501691e+01,-1.720712016125e+02,3.614424377390e+01,-1.775363322251e+02,3.721981827070e+01,-1.773866191804e+02,3.718273715046e+01
7,19395,3551330566.406250,-1.766868750846e+02,-2.473616251184e+02,-1.747566599562e+02,-2.397389398555e+02,-1.801807870870e+02,-2.473829309788e+02,-1.800200836032e+02,-2.471782610322e+02
8,19396,3551513671.875000,1.766868750846e+02,-2.473616251184e+02,1.701294419577e+02,-2.430981296851e+02,1.755874201614e+02,-2.506885433995e+02,1.754459234551e+02,-2.504701354605e+02
9,19397,3551696777.343750,-1.766868750846e+02,1.060121250507e+02,-1.714845977436e+02,1.051482835523e+02,-1.769150570378e+02,1.083829898223e+02,-1.767680613587e+02,1.082854607197e+02
10,19398,3551879882.812500,1.060121250507e+02,2.473616251184e+02,1.058259515840e+02,2.405133074346e+02,1.090451190062e+02,2.480924163958e+02,1.089448414446e+02,2.478849635745e+02
11,19399,3552062988.281250,-2.473616251184e+02,-1.766868750846e+02,-2.431453228909e+02,-1.702648219970e+02,-2.506749429476e+02,-1.756834738915e+02,-2.504565505274e+02,-1.755418999949e+02
