subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,2.550645781574e+02,1.093133906389e+02,2.414601810666e+02,1.245043201301e+02,2.470730386794e+02,1.272834001017e+02,2.469562896737e+02,1.272218145998e+02
1,19389,3550231933.593750,1.093133906389e+02,3.643779687963e+01,1.043758158788e+02,4.294294814040e+01,1.067980772716e+02,4.389357964556e+01,1.067475978549e+02,4.387225762458e+01
2,19390,3550415039.062500,1.821889843981e+02,-2.550645781574e+02,1.946350736626e+02,-2.376583928490e+02,1.990325363621e+02,-2.432104385668e+02,1.989370328056e+02,-2.430960230681e+02
3,19391,3550598144.531250,-3.643779687963e+01,1.093133906389e+02,-4.244146363427e+01,1.047100417793e+02,-4.338048638533e+01,1.071400101891e+02,-4.335943643635e+01,1.070894406217e+02
4,19392,3550781250.000000,2.550645781574e+02,-2.550645781574e+02,2.649583404336e+02,-2.345877331296e+02,2.709786288997e+02,-2.400959108186e+02,2.708492111515e+02,-2.399834711416e+02
5,19393,3550964355.468750,-1.821889843981e+02,-2.550645781574e+02,-1.639918727508e+02,-2.603298428418e+02,-1.678708833865e+02,-2.662702593427e+02,-1.677926801817e+02,-2.661434970658e+02
6,19394,3551147460.937500,-2.550645781574e+02,3.643779687963e+01,-2.519584186530e+02,2.126262812919e+01,-2.577598206893e+02,2.184774543147e+01,-2.576378485318e+02,2.183860320699e+01
7,19395,3551330566.406250,-1.093133906389e+02,-1.821889843981e+02,-9.672276182268e+01,-1.846242582192e+02,-9.902251463063e+01,-1.888449198006e+02,-9.897660073328e+01,-1.887552422453e+02
8,19396,3551513671.875000,-2.550645781574e+02,1.821889843981e+02,-2.600461843441e+02,1.638593854216e+02,-2.659809363523e+02,1.677357553122e+02,-2.658545926098e+02,1.676577919305e+02
9,19397,3551696777.343750,-1.821889843981e+02,1.821889843981e+02,-1.886530345653e+02,1.679079552015e+02,-1.929402089274e+02,1.718509909987e+02,-1.928483974512e+02,1.717708091335e+02
10,19398,3551879882.812500,-1.093133906389e+02,-2.550645781574e+02,-9.237521024024e+01,-2.557271862033e+02,-9.460180091983e+01,-2.615898464932e+02,-9.455841131970e+01,-2.614660983446e+02
11,19399,3552062988.281250,-1.821889843981e+02,-1.821889843981e+02,-1.676884528033e+02,-1.886247653530e+02,-1.716268130616e+02,-1.929118165797e+02,-1.715468589256e+02,-1.928201567764e+02
12,19400,3552246093.750000,-2.550645781574e+02,3.643779687963e+01,-2.515314945936e+02,2.071995876979e+01,-2.573249889789e+02,2.129254628295e+01,-2.572037726260e+02,2.128370987743e+01
13,19401,3552429199.218750,3.643779687963e+01,1.821889843981e+02,2.479607260188e+01,1.802973283019e+02,2.543588243054e+01,1.844465810728e+02,2.542476915965e+01,1.843597142633e+02
14,19402,3552612304.687500,-2.550645781574e+02,1.093133906389e+02,-2.559724056963e+02,9.145536456970e+01,-2.618423561032e+02,9.366129555677e+01,-2.617188679397e+02,9.361848449672e+01
15,19403,3552795410.156250,-2.550645781574e+02,1.821889843981e+02,-2.605394879718e+02,1.624362201773e+02,-2.664884131716e+02,1.662813703483e+02,-2.663625029337e+02,1.662045117376e+02
16,19404,3552978515.625000,-3.643779687963e+01,2.550645781574e+02,-5.154075122720e+01,2.470540855458e+02,-5.263673806496e+01,2.527728420613e+02,-5.261087400040e+01,2.526544726847e+02
17,19405,3553161621.093750,-1.821889843981e+02,2.550645781574e+02,-1.941967581064e+02,2.378120862623e+02,-1.985874701096e+02,2.433716911534e+02,-1.984932349315e+02,2.432584938247e+02
18,19406,3553344726.562500,3.643779687963e+01,1.093133906389e+02,2.863414481251e+01,1.091755088162e+02,2.933590268365e+01,1.116836428149e+02,2.932267287666e+01,1.116311819030e+02
19,19407,3553527832.031250,3.643779687963e+01,-1.093133906389e+02,4.267408058378e+01,-1.044918904816e+02,4.361938618393e+01,-1.069189711830e+02,4.359847299769e+01,-1.068691176862e+02
20,19408,3553710937.500000,1.821889843981e+02,-1.821889843981e+02,1.899631357315e+02,-1.661755112148e+02,1.942840159263e+02,-1.700815777935e+02,1.941923485307e+02,-1.700029108134e+02
21,19409,3553894042.968750,-1.093133906389e+02,1.821889843981e+02,-1.188606537968e+02,1.708502098115e+02,-1.215392574866e+02,1.748376505790e+02,-1.214816418190e+02,1.747564876241e+02
22,19410,3554077148.437500,-3.643779687963e+01,1.093133906389e+02,-4.286184161467e+01,1.044360864737e+02,-4.381170773848e+01,1.068624555882e+02,-4.379075290967e+01,1.068127468397e+02
23,19411,3554260253.906250,1.821889843981e+02,-3.643779687963e+01,1.805480378123e+02,-2.360663360125e+01,1.847062395249e+02,-2.421945966461e+01,1.846199280280e+02,-2.420900779918e+01
24,19412,3554443359.375000,-3.643779687963e+01,1.821889843981e+02,-4.760986036620e+01,1.758082883519e+02,-4.864259507433e+01,1.798842174954e+02,-4.861908337778e+01,1.798005584893e+02
25,19413,3554626464.843750,3.643779687963e+01,-3.643779687963e+01,3.803548737694e+01,-3.326879731497e+01,3.890096369101e+01,-3.405108785397e+01,3.888268100767e+01,-3.403540108144e+01
26,19414,3554809570.312500,-1.821889843981e+02,-2.550645781574e+02,-1.617096501249e+02,-2.615109170509e+02,-1.655412817562e+02,-2.674871719049e+02,-1.654654421444e+02,-2.673618735606e+02
27,19415,3554992675.781250,-3.643779687963e+01,1.821889843981e+02,-4.748676496810e+01,1.760154983267e+02,-4.851684285503e+01,1.800971382880e+02,-4.849344283522e+01,1.800135799328e+02
28,19416,3555175781.250000,1.821889843981e+02,1.821889843981e+02,1.665109895453e+02,1.900282999264e+02,1.704271874294e+02,1.943532551032e+02,1.703488630954e+02,1.942621284756e+02
29,19417,3555358886.718750,-2.550645781574e+02,3.643779687963e+01,-2.517576602011e+02,1.924229343195e+01,-2.575638641080e+02,1.978141815064e+01,-2.574441456804e+02,1.977341725811e+01
30,19418,3555541992.187500,3.643779687963e+01,1.821889843981e+02,2.395418008730e+01,1.803702680261e+02,2.457527924380e+01,1.845266279691e+02,2.456472450870e+01,1.844408792960e+02
31,19419,3555725097.656250,-2.550645781574e+02,2.550645781574e+02,-2.653361012588e+02,2.328523297961e+02,-2.713765194875e+02,2.383300959532e+02,-2.712495825265e+02,2.382208312764e+02
32,19420,3555908203.125000,-3.643779687963e+01,1.821889843981e+02,-4.711089609293e+01,1.754995355640e+02,-4.813297107539e+01,1.795709150758e+02,-4.810984231202e+01,1.794879364692e+02
33,19421,3556091308.593750,3.643779687963e+01,2.550645781574e+02,1.912795073569e+01,2.512341667615e+02,1.966440101825e+01,2.570304561673e+02,1.965648163181e+01,2.569113730853e+02
34,19422,3556274414.062500,1.093133906389e+02,2.550645781574e+02,8.967557754051e+01,2.562511077623e+02,9.184376414079e+01,2.621373020346e+02,9.180248758218e+01,2.620156214871e+02
35,19423,3556457519.531250,2.550645781574e+02,-1.821889843981e+02,2.616056659773e+02,-1.602614081983e+02,2.675895876994e+02,-1.640626671873e+02,2.674651539707e+02,-1.639880716255e+02
36,19424,3556640625.000000,1.821889843981e+02,-1.093133906389e+02,1.857252871216e+02,-9.374839173457e+01,1.899815137337e+02,-9.598455202023e+01,1.898933358628e+02,-9.594110060222e+01
37,19425,3556823730.468750,-3.643779687963e+01,-1.821889843981e+02,-2.216447403560e+01,-1.806546605435e+02,-2.274470025089e+01,-1.848211104189e+02,-2.273505673555e+01,-1.847357236892e+02
38,19426,3557006835.937500,1.821889843981e+02,1.093133906389e+02,1.697197625417e+02,1.206304235705e+02,1.736877006489e+02,1.233544967745e+02,1.736081908274e+02,1.232968242992e+02
39,19427,3557189941.406250,2.550645781574e+02,1.821889843981e+02,2.358353869618e+02,1.967980630865e+02,2.413606467092e+02,2.012581045402e+02,2.412503880257e+02,2.011642802577e+02
40,19428,3557373046.875000,1.093133906389e+02,2.550645781574e+02,8.864151530814e+01,2.570567308245e+02,9.078741673821e+01,2.629656932402e+02,9.074684084397e+01,2.628442374428e+02
41,19429,3557556152.343750,3.643779687963e+01,-3.643779687963e+01,3.812651275696e+01,-3.309723583152e+01,3.899551563403e+01,-3.387678249458e+01,3.897742577798e+01,-3.386138246807e+01
42,19430,3557739257.812500,-1.093133906389e+02,-1.093133906389e+02,-9.954961771152e+01,-1.141377401558e+02,-1.018943980743e+02,-1.167393692406e+02,-1.018481148024e+02,-1.166852572498e+02
43,19431,3557922363.281250,-1.093133906389e+02,2.550645781574e+02,-1.232876419307e+02,2.422751411367e+02,-1.260474352906e+02,2.479241591741e+02,-1.259884221831e+02,2.478109132028e+02
44,19432,3558105468.750000,3.643779687963e+01,-2.550645781574e+02,5.222869896011e+01,-2.468913402360e+02,5.334366775824e+01,-2.526210465189e+02,5.331803342040e+01,-2.525054072440e+02
45,19433,3558288574.218750,1.821889843981e+02,-2.550645781574e+02,1.953356809799e+02,-2.367542638744e+02,1.997647700291e+02,-2.423040880619e+02,1.996720931258e+02,-2.421939504615e+02
46,19434,3558471679.687500,3.643779687963e+01,1.093133906389e+02,2.781642670278e+01,1.093224585184e+02,2.850108356939e+01,1.118410018084e+02,2.848854677127e+01,1.117896527616e+02
47,19435,3558654785.156250,3.643779687963e+01,1.093133906389e+02,2.748108890227e+01,1.093810079613e+02,2.815809269816e+01,1.119013595912e+02,2.814572426610e+01,1.118500282565e+02
48,19436,3558837890.625000,2.550645781574e+02,2.550645781574e+02,2.292217630524e+02,2.684239712837e+02,2.346269371012e+02,2.745488856956e+02,2.345209381657e+02,2.744222896868e+02
49,19437,3559020996.093750,-3.643779687963e+01,3.643779687963e+01,-3.842503605953e+01,3.264070154578e+01,-3.930200560253e+01,3.341056496981e+01,-3.928389949074e+01,3.339548494515e+01
50,19438,3559204101.562500,3.643779687963e+01,-2.550645781574e+02,5.566140500776e+01,-2.459436310185e+02,5.685713060955e+01,-2.516571783210e+02,5.683002257927e+01,-2.515425887352e+02
51,19439,3559387207.031250,-1.093133906389e+02,-3.643779687963e+01,-1.038181153868e+02,-4.412359912566e+01,-1.062380310121e+02,-4.510593095901e+01,-1.061897957699e+02,-4.508487378583e+01
52,19440,3559570312.500000,3.643779687963e+01,1.821889843981e+02,2.138624496649e+01,1.806880148672e+02,2.194942615362e+01,1.848633335400e+02,2.194027796955e+01,1.847790104587e+02
53,19441,3559753417.968750,3.643779687963e+01,-1.093133906389e+02,4.403763701339e+01,-1.039297276525e+02,4.501823066422e+01,-1.063528887098e+02,4.499724862870e+01,-1.063046849753e+02
54,19442,3559936523.437500,3.643779687963e+01,1.093133906389e+02,2.719563824909e+01,1.095851584484e+02,2.786673313214e+01,1.121128294782e+02,2.785457601638e+01,1.120617126148e+02
55,19443,3560119628.906250,-3.643779687963e+01,-1.093133906389e+02,-2.727970012065e+01,-1.095752150168e+02,-2.795283368054e+01,-1.121030075487e+02,-2.794064850181e+01,-1.120519394327e+02
56,19444,3560302734.375000,1.093133906389e+02,-1.821889843981e+02,1.205231995987e+02,-1.697811911952e+02,1.232513484464e+02,-1.737597807737e+02,1.231945919748e+02,-1.736814620624e+02
57,19445,3560485839.843750,-1.093133906389e+02,-1.821889843981e+02,-9.324664790654e+01,-1.861584230332e+02,-9.547726692729e+01,-1.904365937508e+02,-9.543483610534e+01,-1.903497722423e+02
58,19446,3560668945.312500,-3.643779687963e+01,3.643779687963e+01,-3.828821446953e+01,3.292282587832e+01,-3.916309517384e+01,3.370018559482e+01,-3.914519132521e+01,3.368509323734e+01
59,19447,3560852050.781250,2.550645781574e+02,1.093133906389e+02,2.412927525623e+02,1.253880996993e+02,2.469325110294e+02,1.282034125137e+02,2.468212921130e+02,1.281442249962e+02
60,19448,3561035156.250000,-3.643779687963e+01,2.550645781574e+02,-5.404560113322e+01,2.466159577802e+02,-5.520558122009e+01,2.523531749676e+02,-5.517944397499e+01,2.522392669798e+02
