tone_index,freq_hz,input_amp,after_h1_amp,after_fir_amp,after_fir_fixed_amp,h1_delta_db,htotal_delta_db,htotal_fixed_delta_db,input_phase_rad,after_h1_phase_rad,after_fir_phase_rad,after_fir_fixed_phase_rad,h1_phase_delta_rad,h2_phase_delta_rad,h2_fixed_phase_delta_rad,htotal_phase_delta_rad,htotal_fixed_phase_delta_rad
0,3550048828.125000,4.345475146293e-02,4.389432897969e-02,4.343795049342e-02,4.339060475478e-02,0.087422879,-0.003358887,-0.012831344,2.317264130766,-2.923442304772,3.031279366202,3.031279366202,1.042478871642,-0.328463636206,-0.328463636206,0.714015235436,0.714015235436
1,3567993164.062500,4.345475146293e-02,4.373904781722e-02,4.345027518143e-02,4.340468376785e-02,0.056641081,-0.000894781,-0.010013478,4.804997241251,-0.299581326978,5.208847808520,5.208847808520,1.178606738950,-0.774756171682,-0.774756171682,0.403850567269,0.403850567269
2,3586120605.468750,4.345475146293e-02,4.352909687316e-02,4.344080206804e-02,4.339883310868e-02,0.014847726,-0.002788702,-0.011184356,2.643880855760,-2.371470910999,2.686111683559,2.686111683559,1.267833540420,-1.225602712621,-1.225602712621,0.042230827799,0.042230827799
3,3604064941.406250,4.345475146293e-02,4.336738990285e-02,4.344194115332e-02,4.340486530321e-02,-0.017479715,-0.002560948,-0.009977150,3.495091993387,-1.457456062949,3.153833996134,3.153833996134,1.330637250844,-1.671895248096,-1.671895248096,-0.341257997253,-0.341257997253
4,3622009277.343750,4.345475146293e-02,4.330398796874e-02,4.345218105739e-02,4.342077548813e-02,-0.030187538,-0.000513797,-0.006793895,3.808979966006,-1.083676756683,3.081320766924,3.081320766924,1.390528584491,-2.118187783572,-2.118187783572,-0.727659199081,-0.727659199081
5,3639953613.281250,4.345475146293e-02,4.336888714008e-02,4.347778744782e-02,4.345233841752e-02,-0.017179844,0.004603294,-0.000482341,1.217165662328,-3.586540770163,0.132164217970,0.132164217970,1.479478874689,-2.564480319047,-2.564480319047,-1.085001444359,-1.085001444359
6,3658081054.687500,4.345475146292e-02,4.352032403899e-02,4.348641184335e-02,4.346686213861e-02,0.013097000,0.006326085,0.002420387,0.213627176805,-4.455319087710,-1.187460640518,-1.187460640518,1.614239042665,-3.015326859987,-3.015326859987,-1.401087817322,-1.401087817322
7,3676025390.625000,4.345475146293e-02,4.366139585393e-02,4.342641400135e-02,4.341224934995e-02,0.041206913,-0.005666040,-0.008499630,2.107831305114,-2.377775506862,0.443790404855,0.443790404855,1.797578495204,-3.461619395462,-3.461619395462,-1.664040900259,-1.664040900259
8,3693969726.562500,4.345475146293e-02,4.387671874617e-02,4.343974665380e-02,4.343019150856e-02,0.083937434,-0.002999732,-0.004910518,5.116050848495,-5.428915409796,3.229543273625,3.229543273625,2.021404356069,-3.907911930938,-3.907911930938,-1.886507574869,-1.886507574869
9,3712097167.968750,4.345475146294e-02,4.403135487089e-02,4.344867207159e-02,4.344282133774e-02,0.114495576,-0.001215255,-0.002384963,3.827506873713,-6.466086641234,1.741525501248,1.741525501248,2.272777099412,-4.358758471877,-4.358758471877,-2.085981372465,-2.085981372465
10,3730041503.906250,4.345475146292e-02,4.406432135090e-02,4.343541703891e-02,4.343216696460e-02,0.120996309,-0.003865493,-0.004515443,2.188432092814,-7.852566730557,-0.091247123550,-0.091247123550,2.525371790989,-4.805051007353,-4.805051007353,-2.279679216364,-2.279679216364
11,3747985839.843750,4.345475146292e-02,4.403319781174e-02,4.346388021591e-02,4.346210617259e-02,0.114859118,0.001824496,0.001469961,1.754057943690,-8.058027167982,-0.743000096452,-0.743000096452,2.754285502687,-5.251343542828,-5.251343542828,-2.497058040141,-2.497058040141
12,3765930175.781250,4.345475146293e-02,4.389801767329e-02,4.347194437334e-02,4.347051607621e-02,0.088152773,0.003435900,0.003150515,3.421481250805,-6.193652695020,0.675081841035,0.675081841035,2.951236668535,-5.697636078304,-5.697636078304,-2.746399409769,-2.746399409769
13,3784057617.187500,4.345475146293e-02,4.370475585606e-02,4.346080430641e-02,4.345859447486e-02,0.049828564,0.001209780,0.000768121,1.840756978860,-7.605399907911,-1.187511912795,-1.187511912795,3.120213727588,-6.148482619243,-6.148482619243,-3.028268891655,-3.028268891655
14,3802001953.125000,4.345475146293e-02,4.357612897380e-02,4.349409020598e-02,4.349001269937e-02,0.024227546,0.007859610,0.007045283,0.096899841419,-9.200203454056,-3.228607994416,-3.228607994416,3.269267318884,-6.594775154719,-6.594775154719,-3.325507835835,-3.325507835835
15,3819946289.062500,4.345475146292e-02,4.344744246965e-02,4.346235487947e-02,4.345537019025e-02,-0.001461070,0.001519665,0.000123673,0.491319996153,-8.656953798061,-3.131650873896,-3.131650873896,3.418096820145,-7.041067690194,-7.041067690194,-3.622970870049,-3.622970870049
16,3837890625.000000,4.345475146292e-02,4.344940719632e-02,4.346903318847e-02,4.345815913844e-02,-0.001068297,0.002854213,0.000681112,0.784210388557,-8.196979076802,-3.117968688112,-3.117968688112,3.585181149001,-7.487360225670,-7.487360225670,-3.902179076669,-3.902179076669
17,3856018066.406250,4.345475146292e-02,4.351893291997e-02,4.344833446767e-02,4.343268242551e-02,0.012819352,-0.001282746,-0.004412358,-0.995599235386,-9.768654978555,-5.140491130805,-5.140491130805,3.793314871190,-7.938206766609,-7.938206766609,-4.144891895419,-4.144891895419
18,3873962402.343750,4.345475146293e-02,4.368750746395e-02,4.345772142540e-02,4.343672464676e-02,0.046399939,0.000593626,-0.003604011,-2.865994973186,-11.402126924369,-7.220255612094,-7.220255612094,4.030238663176,-8.384499302085,-8.384499302085,-4.354260638909,-4.354260638909
19,3891906738.281250,4.345475146293e-02,4.387457478370e-02,4.345934943511e-02,4.343279317340e-02,0.083513003,0.000919010,-0.004390210,-0.560765316950,-8.833723892607,-5.098145115808,-5.098145115808,4.293412038702,-8.830791837560,-8.830791837560,-4.537379798858,-4.537379798858
20,3910034179.687500,4.345475146293e-02,4.402152528928e-02,4.344450453360e-02,4.341266503662e-02,0.112556318,-0.002048434,-0.008416460,-0.467342746763,-8.470222463948,-5.185490228089,-5.185490228089,4.563490897174,-9.281638378500,-9.281638378500,-4.718147481326,-4.718147481326
21,3927978515.625000,4.345475146293e-02,4.412529362656e-02,4.345813558626e-02,4.342200624132e-02,0.133006760,0.000676404,-0.006547698,0.420898421286,-7.328536183686,-4.490096483302,-4.490096483302,4.816936009387,-9.727930913975,-9.727930913975,-4.910994904588,-4.910994904588
22,3945922851.562500,4.345475146293e-02,4.411663223781e-02,4.345557195526e-02,4.341677640143e-02,0.131301633,0.000164001,-0.007593908,0.207383136834,-7.317037829769,-4.924890664860,-4.924890664860,5.041949647756,-10.174223449451,-10.174223449451,-5.132273801694,-5.132273801694
23,3963867187.500000,4.345475146293e-02,4.405350348992e-02,4.349332769256e-02,4.345399539536e-02,0.118863648,0.007707333,-0.000151127,1.097729277477,-6.240632593900,-4.294777964467,-4.294777964467,5.228008742982,-10.620515984926,-10.620515984926,-5.392507241944,-5.392507241944
24,3981994628.906250,4.345475146293e-02,4.390259469713e-02,4.351458496152e-02,4.347728424380e-02,0.089058360,0.011951505,0.004502765,1.708809869358,-5.473759469953,-3.978751381459,-3.978751381459,5.383801275048,-11.071362525866,-11.071362525866,-5.687561250817,-5.687561250817
25,3999938964.843750,4.345475146292e-02,4.362401392682e-02,4.343227998175e-02,4.339968672072e-02,0.033767060,-0.004492841,-0.011013515,2.744699661012,-4.293264776591,-3.244549223573,-3.244549223573,5.528406176756,-11.517655061341,-11.517655061341,-5.989248884586,-5.989248884586
26,4017883300.781250,4.345475146292e-02,4.347716888521e-02,4.345837922308e-02,4.343280298277e-02,0.004479718,0.000725099,-0.004388248,4.003252882492,-2.880575668835,-2.278152651293,-2.278152651293,5.682542063032,-11.963947596817,-11.963947596817,-6.281405533785,-6.281405533785
27,4036010742.187500,4.345475146293e-02,4.334319511023e-02,4.343717454792e-02,4.342067957529e-02,-0.022326950,-0.003514047,-0.006813081,2.314342572593,-4.374939471935,-4.223362995332,-4.223362995332,5.877088569831,-12.414794137756,-12.414794137756,-6.537705567925,-6.537705567925
