tap_index,coeff_float,coeff_fixed_int,coeff_fixed_float,quantization_error,saturated
36,1.336103421246806200e-01,1095,1.336669921875000000e-01,5.665006281938000932e-05,0
37,3.829960827772035947e-02,314,3.833007812500000000e-02,3.046984727964052730e-05,0
38,-1.787457058256541609e-01,-1464,-1.787109375000000000e-01,3.476832565416088094e-05,0
39,1.025500381059333971e-01,840,1.025390625000000000e-01,-1.097560593339708124e-05,0
40,1.025500381059333971e-01,840,1.025390625000000000e-01,-1.097560593339708124e-05,0
41,-1.787457058256541609e-01,-1464,-1.787109375000000000e-01,3.476832565416088094e-05,0
42,3.829960827772035947e-02,314,3.833007812500000000e-02,3.046984727964052730e-05,0
43,1.336103421246806200e-01,1095,1.336669921875000000e-01,5.665006281938000932e-05,0
44,-1.403316517026292898e-01,-1150,-1.403808593750000000e-01,-4.920767237071022038e-05,0
45,1.274744056471436432e-02,104,1.269531250000000000e-02,-5.212806471436431943e-05,0
46,8.264763187416816759e-02,677,8.264160156250000000e-02,-6.030311668167587236e-06,0
47,-7.707878675745132024e-02,-631,-7.702636718750000000e-02,5.241956995132024399e-05,0
48,3.619576100294076559e-02,297,3.625488281250000000e-02,5.912180955923440617e-05,0
49,-1.522589654783313221e-02,-125,-1.525878906250000000e-02,-3.289251466686779479e-05,0
50,-6.564115012037612801e-03,-54,-6.591796875000000000e-03,-2.768186296238719923e-05,0
51,4.721165908347688123e-02,387,4.724121093750000000e-02,2.955185402311877318e-05,0
52,-7.243160951980298634e-02,-593,-7.238769531250000000e-02,4.391420730298634112e-05,0
53,5.193556770084461344e-02,425,5.187988281250000000e-02,-5.568488834461343684e-05,0
54,-3.785060080095521175e-03,-31,-3.784179687500000000e-03,8.803925955211747145e-07,0
55,-4.117115331915321974e-02,-337,-4.113769531250000000e-02,3.345800665321974066e-05,0
56,7.080816369173634217e-02,580,7.080078125000000000e-02,-7.382441736342171268e-06,0
57,-7.239022528952228364e-02,-593,-7.238769531250000000e-02,2.529977022283635968e-06,0
58,3.264834370388586260e-02,267,3.259277343750000000e-02,-5.557026638586259892e-05,0
59,2.564749430577653588e-02,210,2.563476562500000000e-02,-1.272868077653588337e-05,0
60,-5.718192547827088967e-02,-468,-5.712890625000000000e-02,5.301922827088967338e-05,0
61,5.800648825445038625e-02,475,5.798339843750000000e-02,-2.308981695038625492e-05,0
62,-5.989073863159725258e-02,-491,-5.993652343750000000e-02,-4.578480590274741635e-05,0
63,5.306919529575516298e-02,435,5.310058593750000000e-02,3.139064174483702230e-05,0
64,5.661678669480188150e-03,46,5.615234375000000000e-03,-4.644429448018815021e-05,0
65,-8.875774384365019143e-02,-727,-8.874511718750000000e-02,1.262665615019142873e-05,0
66,1.046646158995303555e-01,857,1.046142578125000000e-01,-5.035808703035549172e-05,0
67,-4.800256189790588768e-02,-393,-4.797363281250000000e-02,2.892908540588767785e-05,0
68,1.902878242370830558e-02,156,1.904296875000000000e-02,1.418632629169441772e-05,0
69,-3.457440929167811955e-02,-283,-3.454589843750000000e-02,2.851085417811954903e-05,0
70,-1.686967537961934702e-02,-138,-1.684570312500000000e-02,2.397225461934701651e-05,0
71,1.360470319382874604e-01,1114,1.359863281250000000e-01,-6.070381328746043970e-05,0
72,-1.495506939461697660e-01,-1225,-1.495361328125000000e-01,1.456113366976596879e-05,0
73,4.152580314085163593e-02,340,4.150390625000000000e-02,-2.189689085163593063e-05,0
74,-4.376418207819074424e-02,-359,-4.382324218750000000e-02,-5.906010930925575941e-05,0
75,1.529093378360701361e-01,1253,1.529541015625000000e-01,4.476372642986392592e-05,0
76,-4.281570447618068820e-02,-351,-4.284667968750000000e-02,-3.097521131931180172e-05,0
77,-1.378487057947992422e-01,-1129,-1.378173828125000000e-01,3.132298229924224131e-05,0
78,-1.505868273903179233e-01,-1234,-1.506347656250000000e-01,-4.793823468207669691e-05,0
79,-7.529714462784453666e-02,-617,-7.531738281250000000e-02,-2.023818465546334266e-05,0
