subcarrier_index,fft_bin,freq_hz,reference_i,reference_q,after_h1_equalized_i,after_h1_equalized_q,after_float_fir_equalized_i,after_float_fir_equalized_q,after_fixed_fir_equalized_i,after_fixed_fir_equalized_q
0,19388,3550048828.125000,1.766868750846e+02,-1.060121250507e+02,1.713580529474e+02,-1.051578294270e+02,1.771998498399e+02,-1.086620096268e+02,1.771993029437e+02,-1.086620354447e+02
1,19389,3550231933.593750,3.533737501691e+01,1.060121250507e+02,3.550495369986e+01,1.030917553689e+02,3.666869362649e+01,1.065854203522e+02,3.666878209703e+01,1.065851642755e+02
2,19390,3550415039.062500,2.473616251184e+02,3.533737501691e+01,2.416839496748e+02,3.209725916393e+01,2.498082394165e+02,3.326041859077e+01,2.498078869968e+02,3.325999507367e+01
3,19391,3550598144.531250,-3.533737501691e+01,1.766868750846e+02,-3.278829969013e+01,1.727246856331e+02,-3.394749103206e+01,1.785084727401e+02,-3.394718169580e+01,1.785082868413e+02
4,19392,3550781250.000000,-1.060121250507e+02,1.060121250507e+02,-1.024244486879e+02,1.044378513860e+02,-1.058852923415e+02,1.078952202651e+02,-1.058850225787e+02,1.078952650836e+02
5,19393,3550964355.468750,1.060121250507e+02,-2.473616251184e+02,1.010969414964e+02,-2.423370382624e+02,1.045494206002e+02,-2.503794881391e+02,1.045489709336e+02,-2.503794543275e+02
6,19394,3551147460.937500,-1.766868750846e+02,3.533737501691e+01,-1.720712016125e+02,3.614424377390e+01,-1.777996583863e+02,3.728604817632e+01,-1.777995197804e+02,3.728629406254e+01
7,19395,3551330566.406250,-1.766868750846e+02,-2.473616251184e+02,-1.747566599562e+02,-2.397389398555e+02,-1.804606036706e+02,-2.477361905198e+02,-1.804609373658e+02,-2.477358775331e+02
8,19396,3551513671.875000,1.766868750846e+02,-2.473616251184e+02,1.701294419577e+02,-2.430981296851e+02,1.758265597049e+02,-2.510616988413e+02,1.758262054141e+02,-2.510619844223e+02
9,19397,3551696777.343750,-1.766868750846e+02,1.060121250507e+02,-1.714845977436e+02,1.051482835523e+02,-1.771602455335e+02,1.085476709835e+02,-1.771601528610e+02,1.085479751430e+02
10,19398,3551879882.812500,1.060121250507e+02,2.473616251184e+02,1.058259515840e+02,2.405133074346e+02,1.092122956947e+02,2.484327086480e+02,1.092127367330e+02,2.484327130234e+02
11,19399,3552062988.281250,-2.473616251184e+02,-1.766868750846e+02,-2.431453228909e+02,-1.702648219970e+02,-2.510296056292e+02,-1.759098041449e+02,-2.510301054312e+02,-1.759095999413e+02
12,19400,3552246093.750000,3.533737501691e+01,3.533737501691e+01,3.480116543236e+01,3.420824243733e+01,3.592241152927e+01,3.533378588647e+01,3.592250830849e+01,3.533377638712e+01
13,19401,3552429199.218750,-2.473616251184e+02,-1.060121250507e+02,-2.423443750986e+02,-1.016221071054e+02,-2.501721987643e+02,-1.050019825315e+02,-2.501727348461e+02,-1.050017716781e+02
14,19402,3552612304.687500,-3.533737501691e+01,-3.533737501691e+01,-3.474899835683e+01,-3.426065394682e+01,-3.586081515602e+01,-3.538027607196e+01,-3.586093229485e+01,-3.538028681533e+01
15,19403,3552795410.156250,-3.533737501691e+01,-3.533737501691e+01,-3.472288521295e+01,-3.428682987769e+01,-3.582999206807e+01,-3.540347863915e+01,-3.583011935513e+01,-3.540349951846e+01
16,19404,3552978515.625000,1.060121250507e+02,-1.766868750846e+02,1.025551912728e+02,-1.730999953136e+02,1.059074592831e+02,-1.786232630803e+02,1.059074459684e+02,-1.786238437617e+02
17,19405,3553161621.093750,-2.473616251184e+02,-1.060121250507e+02,-2.420747830956e+02,-1.023313229042e+02,-2.497860227399e+02,-1.056885906139e+02,-2.497868427840e+02,-1.056885013437e+02
18,19406,3553344726.562500,-2.473616251184e+02,-2.473616251184e+02,-2.426468625043e+02,-2.405421545122e+02,-2.503021792788e+02,-2.482954906117e+02,-2.503032829013e+02,-2.482958497711e+02
19,19407,3553527832.031250,3.533737501691e+01,1.766868750846e+02,3.516751778231e+01,1.724604540107e+02,3.622609160729e+01,1.779526943746e+02,3.622647196848e+01,1.779532142856e+02
20,19408,3553710937.500000,-3.533737501691e+01,-1.766868750846e+02,-3.506981399180e+01,-1.725036830202e+02,-3.612136943548e+01,-1.779780528928e+02,-3.612175973035e+01,-1.779786234637e+02
21,19409,3553894042.968750,-3.533737501691e+01,-2.473616251184e+02,-3.515003281730e+01,-2.416011918093e+02,-3.617661202430e+01,-2.492366693454e+02,-3.617711831250e+01,-2.492375602861e+02
22,19410,3554077148.437500,2.473616251184e+02,1.060121250507e+02,2.419339054544e+02,1.030560488429e+02,2.495057062928e+02,1.063790357254e+02,2.495068800517e+02,1.063790993947e+02
23,19411,3554260253.906250,1.060121250507e+02,-1.766868750846e+02,1.032185981518e+02,-1.728625616987e+02,1.065115875084e+02,-1.782432650863e+02,1.065117874181e+02,-1.782441992450e+02
24,19412,3554443359.375000,-1.060121250507e+02,2.473616251184e+02,-1.030876524117e+02,2.419051702302e+02,-1.063886178186e+02,2.494221220077e+02,-1.063887418503e+02,2.494234365755e+02
25,19413,3554626464.843750,2.473616251184e+02,2.473616251184e+02,2.421630935829e+02,2.412100699527e+02,2.496139203619e+02,2.487963224273e+02,2.496155173449e+02,2.487971770987e+02
26,19414,3554809570.312500,1.060121250507e+02,2.473616251184e+02,1.040351744578e+02,2.414838917744e+02,1.071774308729e+02,2.490045439617e+02,1.071783574726e+02,2.490056810243e+02
27,19415,3554992675.781250,-1.766868750846e+02,-2.473616251184e+02,-1.730635137452e+02,-2.413598724146e+02,-1.783261360100e+02,-2.488733081567e+02,-1.783274830544e+02,-2.488744094555e+02
28,19416,3555175781.250000,3.533737501691e+01,-3.533737501691e+01,3.447883569939e+01,-3.458929745699e+01,3.555166665171e+01,-3.564194850260e+01,3.555181895069e+01,-3.564220678057e+01
29,19417,3555358886.718750,3.533737501691e+01,1.766868750846e+02,3.478113599820e+01,1.726711948921e+02,3.578863605055e+01,1.779774257165e+02,3.578911625038e+01,1.779784496801e+02
30,19418,3555541992.187500,-2.473616251184e+02,-2.473616251184e+02,-2.421518882018e+02,-2.415957358372e+02,-2.494671266123e+02,-2.490590946627e+02,-2.494690755027e+02,-2.490603025082e+02
31,19419,3555725097.656250,3.533737501691e+01,3.533737501691e+01,3.459503247257e+01,3.453110087748e+01,3.563625613133e+01,3.559396987154e+01,3.563654460333e+01,3.559415255133e+01
